service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2018/01/01 05:00:00+00,Ferry,Boat-F4,10109,460,22,,,33,368
2018/01/01 05:00:00+00,Bus,Bus,6840788,325752,21,8217400,249012,33,369
2018/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2490280,118585,21,2766706,83840,33,370
2018/01/01 05:00:00+00,Rail,Green Line,3296590,156980,21,4250325.39,128798,33,371
2018/01/01 05:00:00+00,Rail,Orange Line,3957517,188453,21,4823779.3,146175,33,372
2018/01/01 05:00:00+00,Rail,Red Line,4674595,222600,21,5690572.2,172442,33,373
2018/01/01 05:00:00+00,Bus,Silver Line,635181,30247,21,786331,23828,33,374
2018/01/01 05:00:00+00,The RIDE,The RIDE,125370,5970,21,151483,4590,33,375
2018/02/01 05:00:00+00,Rail,Blue Line,1217039,64055,19,1512814.1,54029,28,376
2018/02/01 05:00:00+00,Ferry,Boat-F1,57076,2854,20,,,28,377
2018/02/01 05:00:00+00,Ferry,Boat-F3,18843,942,20,,,28,378
2018/02/01 05:00:00+00,Ferry,Boat-F4,12109,605,20,,,28,379
2018/02/01 05:00:00+00,Bus,Bus,6579569,346293,19,7965649,284488,28,380
2018/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2289469,120498,19,2425717,86633,28,381
2018/02/01 05:00:00+00,Rail,Green Line,3349163,176272,19,4226532.69,150948,28,382
2018/02/01 05:00:00+00,Rail,Orange Line,3908354,205703,19,4673469.73,166910,28,383
2018/02/01 05:00:00+00,Rail,Red Line,4593842,241781,19,5500918.6,196461,28,384
2018/02/01 05:00:00+00,Bus,Silver Line,598648,31508,19,739721,26419,28,385
2018/02/01 05:00:00+00,The RIDE,The RIDE,124694,6563,19,150311,5368,28,386
2018/03/01 05:00:00+00,Rail,Blue Line,1325375,60244,22,1647712.5,53152,31,387
2018/03/01 05:00:00+00,Ferry,Boat-F1,58898,2677,22,,,31,388
2018/03/01 05:00:00+00,Ferry,Boat-F3,17698,804,22,,,31,389
2018/03/01 05:00:00+00,Ferry,Boat-F4,12214,555,22,,,31,390
2018/03/01 05:00:00+00,Bus,Bus,7162827,325583,22,8619946,278063,31,391
2018/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2556696,116213,22,2708447,87369,31,392
2018/03/01 05:00:00+00,Rail,Green Line,3582887,162859,22,4528997.159999999,146097,31,393
2018/03/01 05:00:00+00,Rail,Orange Line,4188913,190405,22,5036650.83,162473,31,394
2018/03/01 05:00:00+00,Rail,Red Line,4997285,227149,22,6001784.4,193606,31,395
2018/03/01 05:00:00+00,Bus,Silver Line,688734,31306,22,842411,27175,31,396
2018/03/01 05:00:00+00,The RIDE,The RIDE,128248,5829,22,155627,5020,31,397
2018/04/01 04:00:00+00,Rail,Blue Line,1424222,67820,21,1771992.5,59066,30,398
2018/04/01 04:00:00+00,Ferry,Boat-F1,63282,3013,21,,,30,399
2018/04/01 04:00:00+00,Ferry,Boat-F3,20982,999,21,,,30,400
2021/12/01 05:00:00+00,Bus,Bus,4497860,195559,23,5438831,175446,31,401
2021/12/01 05:00:00+00,Commuter Rail,Commuter Rail,1024813,44557,23,1141384,36819,31,402
2021/12/01 05:00:00+00,Ferry,Ferry,31507,1370,23,32649,1053,31,403
2021/12/01 05:00:00+00,Rail,Green Line,1916108,83309,23,2388560,77050,31,404
2021/12/01 05:00:00+00,Rail,Orange Line,2023699,87987,23,2458522,79307,31,405
2021/12/01 05:00:00+00,Rail,Red Line,2231045,97002,23,2674844,86285,31,406
2021/12/01 05:00:00+00,Bus,Silver Line,456036,19828,23,589137,19004,31,407
2021/12/01 05:00:00+00,The RIDE,The RIDE,64676,2812,23,75386,2432,31,408
2022/01/01 05:00:00+00,Rail,Blue Line,617268,30863,20,797367,25722,31,409
2022/01/01 05:00:00+00,Bus,Bus,3835742,191787,20,4659493,150306,31,410
2022/01/01 05:00:00+00,Commuter Rail,Commuter Rail,729933,36497,20,848770,27380,31,411
2022/01/01 05:00:00+00,Ferry,Ferry,16591,830,20,17247,556,31,412
2022/01/01 05:00:00+00,Rail,Green Line,1486916,74346,20,1955158,63070,31,413
2022/01/01 05:00:00+00,Rail,Orange Line,1573912,78696,20,1986122,64068,31,414
2022/01/01 05:00:00+00,Rail,Red Line,1709921,85496,20,2148255,69299,31,415
2022/01/01 05:00:00+00,Bus,Silver Line,369583,18479,20,483199,15587,31,416
2022/01/01 05:00:00+00,The RIDE,The RIDE,53865,2693,20,62548,2018,31,417
2022/02/01 05:00:00+00,Rail,Blue Line,678309,35700,19,887788,31707,28,418
2022/02/01 05:00:00+00,Bus,Bus,4119991,216842,19,5045702,180203,28,419
2022/02/01 05:00:00+00,Commuter Rail,Commuter Rail,846107,44532,19,970097,34646,28,420
2022/02/01 05:00:00+00,Ferry,Ferry,23784,1252,19,25274,903,28,421
2022/02/01 05:00:00+00,Rail,Green Line,1788066,94109,19,2394233,85508,28,422
