service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2017/07/01 04:00:00+00,Bus,Bus,6928955,329950,21,8661443,279401,31,1
2017/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2698676,134934,20,2644878,85319,31,2
2017/07/01 04:00:00+00,Rail,Green Line,3626476,181324,20,4821551.930000003,155534,31,3
2017/07/01 04:00:00+00,Rail,Orange Line,4067013,203351,20,5096206.17,164394,31,4
2017/07/01 04:00:00+00,Rail,Red Line,5145860,257293,20,6456710.2,208281,31,5
2017/07/01 04:00:00+00,Bus,Silver Line,760559,36217,21,944674,30473,31,6
2017/07/01 04:00:00+00,The RIDE,The RIDE,128361,6418,20,160754,5186,31,7
2017/07/01 04:00:00+00,Rail,Blue Line,1389657,69483,20,1882494.5,60726,31,8
2017/07/01 04:00:00+00,Ferry,Boat-F1,70720,3536,20,,,31,9
2017/08/01 04:00:00+00,Rail,Blue Line,1577814,68601,23,1910350.2,61624,31,10
2017/08/01 04:00:00+00,Ferry,Boat-F1,82468,3586,23,,,31,11
2017/08/01 04:00:00+00,Ferry,Boat-F3,43125,1875,23,,,31,12
2017/08/01 04:00:00+00,Ferry,Boat-F4,36977,1849,20,,,31,13
2017/08/01 04:00:00+00,Bus,Bus,7518350,326885,23,8927405,287981,31,14
2017/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2867065,124655,23,2926175,94393,31,15
2017/08/01 04:00:00+00,Rail,Green Line,3982377,173147,23,4792516.38,154597,31,16
2017/08/01 04:00:00+00,Rail,Orange Line,4586310,199405,23,5326273.46,171815,31,17
2017/08/01 04:00:00+00,Rail,Red Line,5763699,250596,23,6692491.4,215887,31,18
2017/08/01 04:00:00+00,Bus,Silver Line,788706,34292,23,932853,30092,31,19
2017/08/01 04:00:00+00,The RIDE,The RIDE,149390,6495,23,173923,5610,31,20
2017/09/01 04:00:00+00,Rail,Blue Line,1434393,71720,20,1843973.6,61466,30,21
2017/09/01 04:00:00+00,Ferry,Boat-F1,69395,3470,20,,,30,22
2017/09/01 04:00:00+00,Ferry,Boat-F3,25149,1257,20,,,30,23
2017/09/01 04:00:00+00,Ferry,Boat-F4,26195,1310,20,,,30,24
2017/09/01 04:00:00+00,Bus,Bus,7400408,370020,20,9089873,302995,30,25
2017/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2526284,126314,20,3193780,106459,30,26
2017/09/01 04:00:00+00,Rail,Green Line,3968313,198416,20,5179945.72,172665,30,27
2017/09/01 04:00:00+00,Rail,Orange Line,4413644,220682,20,5334998.9,177833,30,28
2017/09/01 04:00:00+00,Rail,Red Line,5385669,269283,20,6584520.4,219484,30,29
2017/09/01 04:00:00+00,Bus,Silver Line,663795,33190,20,837035,27901,30,30
2017/09/01 04:00:00+00,The RIDE,The RIDE,132680,6634,20,162389,5413,30,31
2017/10/01 04:00:00+00,Rail,Blue Line,1557261,70785,22,1912476.3,61693,31,32
2017/10/01 04:00:00+00,Ferry,Boat-F1,75904,3450,22,,,31,33
2017/10/01 04:00:00+00,Ferry,Boat-F3,25444,1157,22,,,31,34
2017/10/01 04:00:00+00,Ferry,Boat-F4,26442,1202,22,,,31,35
2017/10/01 04:00:00+00,Bus,Bus,8050056,365912,22,9612888,310094,31,36
2017/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2756480,125295,22,2897360,93463,31,37
2017/10/01 04:00:00+00,Rail,Green Line,4169401,189518,22,5182655.649999999,167182,31,38
2017/10/01 04:00:00+00,Rail,Orange Line,4835976,219817,22,5664755.39,182734,31,39
2017/10/01 04:00:00+00,Rail,Red Line,5871799,266900,22,6841413,220691,31,40
2017/10/01 04:00:00+00,Bus,Silver Line,747702,33986,22,900333,29043,31,41
2017/10/01 04:00:00+00,The RIDE,The RIDE,145884,6631,22,173074,5583,31,42
2017/11/01 04:00:00+00,Rail,Blue Line,1407959,67046,21,1716223.8,57207,30,43
2017/11/01 04:00:00+00,Ferry,Boat-F1,67869,3232,21,,,30,44
2017/11/01 04:00:00+00,Ferry,Boat-F3,21466,1022,21,,,30,45
2017/11/01 04:00:00+00,Ferry,Boat-F4,15229,725,21,,,30,46
2017/11/01 04:00:00+00,Bus,Bus,7376706,351272,21,8778394,292614,30,47
2017/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2593976,123523,21,2727852,90928,30,48
2017/11/01 04:00:00+00,Rail,Green Line,3844086,183052,21,4716823.91,157227,30,49
2017/11/01 04:00:00+00,Rail,Orange Line,4416335,210302,21,5110791.91,170360,30,50
2016/01/01 05:00:00+00,Rail,Blue Line,1145383,60283,19,1570201,50652,31,51
2016/01/01 05:00:00+00,Ferry,Boat-F1,59503,2975,20,,,31,52
2016/01/01 05:00:00+00,Ferry,Boat-F3,16191,810,20,,,31,53
2016/01/01 05:00:00+00,Ferry,Boat-F4,8172,409,20,,,31,54
2016/01/01 05:00:00+00,Bus,Bus,6985521,367659,19,8225148,265328,31,55
2016/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2827718,134653,21,2794459,90144,31,56
2016/01/01 05:00:00+00,Rail,Green Line,3417417,179864,19,4737150,152811,31,57
2016/01/01 05:00:00+00,Rail,Orange Line,4094142,215481,19,5277916,170255,31,58
2016/01/01 05:00:00+00,Rail,Red Line,4696897,247205,19,6000298,193558,31,59
2016/01/01 05:00:00+00,Bus,Silver Line,669761,35251,19,772265,24912,31,60
2016/01/01 05:00:00+00,The RIDE,The RIDE,113748,5987,19,173378,5593,31,61
2016/02/01 05:00:00+00,Rail,Blue Line,1223715,61186,20,1517324,52322,29,62
2016/02/01 05:00:00+00,Ferry,Boat-F1,58596,2790,21,,,29,63
2016/02/01 05:00:00+00,Ferry,Boat-F3,16811,841,20,,,29,64
2016/02/01 05:00:00+00,Ferry,Boat-F4,8539,427,20,,,29,65
2016/02/01 05:00:00+00,Bus,Bus,7469019,373451,20,8191566,282468,29,66
2016/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2615220,124534,21,2584080,89106,29,67
2016/02/01 05:00:00+00,Rail,Green Line,3813404,190670,20,4817192,166110,29,68
2016/02/01 05:00:00+00,Rail,Orange Line,4360890,218045,20,5222213,180076,29,69
2016/02/01 05:00:00+00,Rail,Red Line,5081211,254061,20,6094219,210145,29,70
2016/02/01 05:00:00+00,Bus,Silver Line,730265,36513,20,734150,25316,29,71
2016/02/01 05:00:00+00,The RIDE,The RIDE,113282,5664,20,165757,5716,29,72
2016/03/01 05:00:00+00,Rail,Blue Line,1472440,64019,23,1756951.6,56676,31,73
2016/03/01 05:00:00+00,Ferry,Boat-F1,67941,2954,23,,,31,74
2016/03/01 05:00:00+00,Ferry,Boat-F3,20169,877,23,,,31,75
2016/03/01 05:00:00+00,Ferry,Boat-F4,13081,569,23,,,31,76
2016/03/01 05:00:00+00,Bus,Bus,8679363,377364,23,9456633,305052,31,77
2016/03/01 05:00:00+00,Commuter Rail,Commuter Rail,3084894,134126,23,3048753,98347,31,78
2016/03/01 05:00:00+00,Rail,Green Line,4499554,195633,23,5413830.470000004,174640,31,79
2016/03/01 05:00:00+00,Rail,Orange Line,5092407,221409,23,5893406.28,190110,31,80
2016/03/01 05:00:00+00,Rail,Red Line,5992503,260544,23,6926056,223421,31,81
2016/03/01 05:00:00+00,Bus,Silver Line,901662,39203,23,833048,26873,31,82
2016/03/01 05:00:00+00,The RIDE,The RIDE,137440,5976,23,194761,6283,31,83
2016/04/01 04:00:00+00,Rail,Blue Line,1414182,67342,21,1772106.8,59070,30,84
2016/04/01 04:00:00+00,Ferry,Boat-F1,65615,3125,21,,,30,85
2016/04/01 04:00:00+00,Ferry,Boat-F3,20486,976,21,,,30,86
2016/04/01 04:00:00+00,Ferry,Boat-F4,16274,775,21,,,30,87
2016/04/01 04:00:00+00,Bus,Bus,6231752,389485,16,8822203,294073,30,88
2016/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2732306,130110,21,2699878,89996,30,89
2016/04/01 04:00:00+00,Rail,Green Line,4384568,208789,21,5588800.44,186293,30,90
2016/04/01 04:00:00+00,Rail,Orange Line,4643144,221102,21,5577146.75,185905,30,91
2016/04/01 04:00:00+00,Rail,Red Line,5533494,263500,21,6621164,220705,30,92
2016/04/01 04:00:00+00,Bus,Silver Line,650905,40682,16,823949,27465,30,93
2016/04/01 04:00:00+00,The RIDE,The RIDE,125259,5965,21,182090,6070,30,94
2016/05/01 04:00:00+00,Rail,Blue Line,1419431,67592,21,1798362.1,58012,31,95
2016/05/01 04:00:00+00,Ferry,Boat-F1,69197,3295,21,,,31,96
2016/05/01 04:00:00+00,Ferry,Boat-F3,21414,1020,21,,,31,97
2016/05/01 04:00:00+00,Ferry,Boat-F4,20506,976,21,,,31,98
2016/05/01 04:00:00+00,Bus,Bus,8092982,385380,21,8963275,289138,31,99
2016/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2656886,120768,22,2625761,84702,31,100
2018/04/01 04:00:00+00,Ferry,Boat-F4,16250,739,22,,,30,101
2018/04/01 04:00:00+00,Bus,Bus,7209477,343308,21,8658518,288617,30,102
2018/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2530649,120507,21,2668943,88965,30,103
2018/04/01 04:00:00+00,Rail,Green Line,3893609,185410,21,4921868.37,164062,30,104
2018/04/01 04:00:00+00,Rail,Orange Line,4429086,210909,21,5279512.55,175984,30,105
2018/04/01 04:00:00+00,Rail,Red Line,5296118,252196,21,6259564.5,208652,30,106
2018/04/01 04:00:00+00,Bus,Silver Line,745154,35484,21,923508,30784,30,107
2018/04/01 04:00:00+00,The RIDE,The RIDE,138743,6607,21,166817,5561,30,108
2018/05/01 04:00:00+00,Rail,Blue Line,1564973,71135,22,1914307,61752,31,109
2018/05/01 04:00:00+00,Ferry,Boat-F1,75002,3409,22,,,31,110
2018/05/01 04:00:00+00,Ferry,Boat-F3,27552,1252,22,,,31,111
2018/05/01 04:00:00+00,Ferry,Boat-F4,25990,1181,22,,,31,112
2018/05/01 04:00:00+00,Bus,Bus,7862668,357394,22,9326564,300857,31,113
2018/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2682524,121933,22,2816936,90869,31,114
2018/05/01 04:00:00+00,Rail,Green Line,3935310,178878,22,4823941.53,155611,31,115
2018/05/01 04:00:00+00,Rail,Orange Line,4686529,213024,22,5496140.63,177295,31,116
2018/05/01 04:00:00+00,Rail,Red Line,5632748,256034,22,6594259.6,212718,31,117
2018/05/01 04:00:00+00,Bus,Silver Line,817296,37150,22,988227,31878,31,118
2018/05/01 04:00:00+00,The RIDE,The RIDE,146907,6678,22,173029,5582,31,119
2018/06/01 04:00:00+00,Rail,Blue Line,1506127,71720,21,1886056.7,62869,30,120
2018/06/01 04:00:00+00,Ferry,Boat-F1,76176,3627,21,,,30,121
2018/06/01 04:00:00+00,Ferry,Boat-F3,33925,1615,21,,,30,122
2018/06/01 04:00:00+00,Ferry,Boat-F4,31816,1515,21,,,30,123
2018/06/01 04:00:00+00,Bus,Bus,7274606,346410,21,8779719,292657,30,124
2018/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2581136,122911,21,2723772,90792,30,125
